,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,32:40,7,17,0.412,1,7,0.143,3,5,0.6,1,3,4,2,0,0,1,2,18,-21
Darius Bazley,30:23,5,14,0.357,1,7,0.143,4,5,0.8,1,6,7,2,0,0,1,0,15,-19
Luguentz Dort,30:07,2,10,0.2,1,6,0.167,2,4,0.5,2,4,6,2,2,0,3,3,7,-21
Josh Giddey,28:42,2,7,0.286,0,0,,0,0,,2,8,10,3,0,0,1,2,4,-16
Derrick Favors,20:19,2,9,0.222,0,0,,0,0,,4,5,9,1,0,1,1,1,4,-13
Th̩o Maledon,21:10,1,6,0.167,0,3,0,2,2,1,0,2,2,3,0,0,2,1,4,-3
Kenrich Williams,15:52,3,5,0.6,1,2,0.5,0,0,,0,0,0,1,0,0,1,2,7,-1
Aleksej Pokusevski,14:56,0,2,0,0,2,0,0,2,0,1,2,3,3,1,0,2,1,0,-2
Tre Mann,14:54,4,7,0.571,1,2,0.5,0,0,,0,0,0,1,1,1,1,0,9,-4
Isaiah Roby,14:23,4,8,0.5,0,3,0,0,0,,4,2,6,1,0,0,1,2,8,3
Jeremiah Robinson-Earl,13:18,4,6,0.667,2,3,0.667,0,0,,0,2,2,0,0,0,0,1,10,-11
Vit Krejci,3:14,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,3
Ty Jerome,Did Not Play,,,,,,,,,,,,,,,,,,,
Mike Muscala,Did Not Play,,,,,,,,,,,,,,,,,,,
Gabriel Deck,Did Not Play,,,,,,,,,,,,,,,,,,,
