,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,32:40,0.469,0.441,0.412,0.294,2.6,9.4,5.7,12.4,0,0,5,26.3,99,118,-0.9
Darius Bazley,30:23,0.463,0.393,0.5,0.357,2.8,20.2,10.7,12.1,0,0,5.8,24.1,100,115,0.7
Luguentz Dort,30:07,0.298,0.25,0.6,0.4,5.7,13.6,9.3,10.3,3.4,0,20.3,20.8,62,109,-7.9
Josh Giddey,28:42,0.286,0.286,0,0,6,28.5,16.2,16.4,0,0,12.5,11.8,77,112,-7.1
Derrick Favors,20:19,0.222,0.222,0,0,16.9,25.1,20.6,8.1,0,5.4,10,20.9,65,110,-8
Th̩o Maledon,21:10,0.291,0.167,0.5,0.333,0,9.6,4.4,21.4,0,0,22.5,17.8,63,118,-11
Kenrich Williams,15:52,0.7,0.7,0.4,0,0,0,0,12.1,0,0,16.7,16.1,114,122,-1.2
Aleksej Pokusevski,14:56,0,0,1,1,5.7,13.7,9.4,28.4,3.4,0,41,13.9,35,109,-7.9
Tre Mann,14:54,0.643,0.643,0.286,0,0,0,0,15.3,3.4,7.3,12.5,22.8,110,110,11.6
Isaiah Roby,14:23,0.5,0.5,0.375,0,23.8,14.2,19.4,16.2,0,0,11.1,26.6,105,117,1.4
Jeremiah Robinson-Earl,13:18,0.833,0.833,0.5,0,0,15.4,7,0,0,0,0,19.2,155,116,13.1
Vit Krejci,3:14,,,,,0,31.6,14.4,0,0,0,,0,0,111,-6.8
Ty Jerome,Did Not Play,,,,,,,,,,,,,,,
Mike Muscala,Did Not Play,,,,,,,,,,,,,,,
Gabriel Deck,Did Not Play,,,,,,,,,,,,,,,
